		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010111111   62   59   65   58   65   43   58   53  6.538139 0.587180 SUCCESS  67
011000111   59   77   60   68   51   60   75   58 13.051374 0.110094 SUCCESS  68
011001111   62   64   63   58   58   62   66   54  2.481131 0.962605 SUCCESS  69
011010111   48   54   57   74   64   60   59   48  9.129819 0.331463 SUCCESS  70
011011111   56   63   58   58   67   55   61   61  2.075045 0.978624 SUCCESS  71
011101111   60   70   64   43   54   65   61   56  8.399731 0.395428 SUCCESS  72
011111111   63   65   44   63   60   47   43   72 15.078436 0.057638 SUCCESS  73
100000000   59   67   59   62   67   62   59   51  3.793147 0.875288 SUCCESS  74
100010000   66   42   75   53   68   74   51   65 18.372111 0.018603 SUCCESS  75
100100000   57   65   50   62   56   57   50   53  4.427552 0.816637 SUCCESS  76
100101000   49   59   73   66   58   60   61   64  6.739327 0.565001 SUCCESS  77
100110000   51   71   58   55   57   53   45   71 10.568909 0.227341 SUCCESS  78
100111000   58   52   69   55   64   66   56   60  4.455715 0.813847 SUCCESS  79
101000000   70   57   72   60   53   71   80   60 16.476793 0.036042 SUCCESS  80
101000100   71   48   67   61   65   68   59   56  8.232818 0.411065 SUCCESS  81
101001000   70   50   58   72   52   54   61   51  9.016346 0.340919 SUCCESS  82
101001100   53   50   61   59   65   59   49   58  4.419585 0.817423 SUCCESS  83
101010000   65   76   60   49   54   63   73   49 13.537619 0.094642 SUCCESS  84
101010100   64   55   49   54   66   69   50   59  6.927808 0.544441 SUCCESS  85
101011000   64   75   63   57   58   51   63   50  8.207953 0.413425 SUCCESS  86
101011100   58   51   55   70   55   54   57   59  4.260159 0.832921 SUCCESS  87
101100000   68   54   61   59   65   68   63   60  4.472612 0.812167 SUCCESS  88
101100100   55   61   60   50   74   71   53   63  9.303807 0.317319 SUCCESS  89
101101000   74   56   59   61   56   66   56   63  5.778996 0.671972 SUCCESS  90
101101100   47   45   48   57   47   59   63   65 11.349620 0.182665 SUCCESS  91
101110000   57   58   63   52   42   62   74   56 10.536556 0.229366 SUCCESS  92
101110100   55   48   62   64   67   54   58   54  4.966344 0.761167 SUCCESS  93
101111000   62   48   64   73   64   61   52   54  8.029295 0.430614 SUCCESS  94
101111100   53   65   47   69   67   60   61   45 10.187688 0.252099 SUCCESS  95
110000000   56   56   51   57   63   64   46   50  6.437305 0.598370 SUCCESS  96
110000010   65   57   66   63   62   57   66   67  4.278018 0.831209 SUCCESS  97
110000100   49   59   51   61   38   61   59   61 10.630316 0.223538 SUCCESS  98
110001000   63   57   72   56   68   62   59   77 11.052406 0.198747 SUCCESS  99
110001010   67   54   51   67   66   52   66   48  8.526804 0.383771 SUCCESS 100
110010000   59   57   55   58   69   76   50   61  8.797848 0.359635 SUCCESS 101
110010010   67   63   51   56   66   43   57   66  8.970394 0.344800 SUCCESS 102
110010100   55   51   72   66   51   62   73   54 10.496717 0.231878 SUCCESS 103
110011000   57   69   58   51   49   56   60   76 10.020295 0.263604 SUCCESS 104
110011010   54   63   54   57   56   63   59   60  1.652543 0.989876 SUCCESS 105
110100000   69   55   65   67   48   55   62   67  7.604938 0.472980 SUCCESS 106
110100010   73   42   63   61   46   67   55   66 14.132185 0.078384 SUCCESS 107
110100100   59   58   58   59   54   57   55   58  0.754100 0.999376 SUCCESS 108
110101000   45   71   62   60   48   69   71   59 12.666376 0.123856 SUCCESS 109
110101010   57   47   54   53   63   61   59   56  4.040700 0.853433 SUCCESS 110
110101100   59   65   57   56   57   58   59   55  1.195354 0.996688 SUCCESS 111
110110000   78   52   62   60   64   46   68   61 12.425829 0.133192 SUCCESS 112
110110010   42   53   53   50   67   62   66   72 12.846889 0.117227 SUCCESS 113
110110100   68   59   48   62   60   61   49   61  5.605008 0.691380 SUCCESS 114
110111000   59   62   61   56   58   63   63   59  1.033593 0.998027 SUCCESS 115
110111010   63   44   66   62   66   50   53   44 11.975165 0.152315 SUCCESS 116
110111100   58   63   59   58   61   54   59   50  2.188038 0.974698 SUCCESS 117
111000000   59   60   53   54   57   64   60   53  2.174437 0.975192 SUCCESS 118
111000010   47   62   78   53   40   69   62   66 18.836787 0.015757 SUCCESS 119
111000100   53   60   72   62   68   61   57   66  6.396092 0.602955 SUCCESS 120
111000110   54   62   57   51   61   64   60   60  2.323560 0.969452 SUCCESS 121
111001000   65   65   64   59   66   66   50   62  5.186765 0.737441 SUCCESS 122
111001010   67   59   55   62   59   65   61   47  4.826151 0.775986 SUCCESS 123
111001100   62   76   67   56   56   59   54   69  9.068893 0.336518 SUCCESS 124
111010000   56   54   59   54   65   48   58   59  3.691832 0.883803 SUCCESS 125
111010010   52   50   65   57   58   69   62   53  5.521071 0.700704 SUCCESS 126
111010100   57   65   63   61   51   54   69   50  5.794451 0.670244 SUCCESS 127
111010110   63   56   58   56   63   53   61   57  1.641759 0.990096 SUCCESS 128
111011000   73   56   52   55   65   48   65   74 12.212003 0.141993 SUCCESS 129
