		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110100000   59   64   65   49   65   54   60   61  4.030877 0.854327 SUCCESS 106
110100010   58   47   50   82   56   55   53   56 14.410236 0.071680 SUCCESS 107
110100100   48   43   60   63   58   61   65   72 10.612526 0.224635 SUCCESS 108
110101000   53   63   56   70   54   70   51   49  8.615893 0.375727 SUCCESS 109
110101010   50   57   53   67   55   66   50   57  5.780369 0.671818 SUCCESS 110
110101100   60   59   65   64   57   53   60   52  2.664460 0.953621 SUCCESS 111
110110000   47   57   51   58   54   71   48   51  9.737505 0.283935 SUCCESS 112
110110010   57   55   61   46   51   51   68   64  7.384517 0.495770 SUCCESS 113
110110100   59   50   56   48   60   66   61   63  4.885223 0.769770 SUCCESS 114
110111000   66   57   59   62   58   64   59   51  2.705261 0.951472 SUCCESS 115
110111010   54   65   76   59   55   51   59   52  8.421299 0.393434 SUCCESS 116
110111100   62   57   64   46   70   59   68   62  7.464264 0.487467 SUCCESS 117
111000000   49   58   56   56   67   59   59   56  3.299827 0.914158 SUCCESS 118
111000010   63   50   60   65   61   58   63   58  2.789198 0.946882 SUCCESS 119
111000100   64   58   59   61   58   59   70   59  2.786863 0.947013 SUCCESS 120
111000110   72   64   70   65   55   47   61   63  9.512482 0.300922 SUCCESS 121
111001000   54   59   60   57   62   64   66   71  4.667206 0.792481 SUCCESS 122
111001010   64   61   58   72   68   50   69   60  8.333172 0.401620 SUCCESS 123
111001100   63   77   55   46   61   61   61   48 11.575674 0.171164 SUCCESS 124
111010000   61   68   60   56   72   52   48   63  7.972558 0.436155 SUCCESS 125
111010010   58   65   68   58   51   56   61   64  3.952573 0.861377 SUCCESS 126
111010100   55   65   51   59   49   69   50   47  9.334716 0.314851 SUCCESS 127
111010110   58   63   64   45   58   53   51   54  6.229110 0.621585 SUCCESS 128
111011000   55   57   57   50   41   59   56   58  7.459525 0.487959 SUCCESS 129
111011010   65   65   57   58   61   64   57   70  4.237217 0.835112 SUCCESS 130
111011100   62   59   57   55   53   58   65   48  3.824538 0.872597 SUCCESS 131
111100000   54   55   58   58   69   63   56   71  5.573137 0.694924 SUCCESS 132
111100010   71   69   63   55   66   54   55   59  6.577086 0.582871 SUCCESS 133
111100100   62   46   53   52   51   57   64   57  6.131573 0.632496 SUCCESS 134
111100110   49   57   57   61   69   69   59   56  5.683794 0.682603 SUCCESS 135
111101000   63   51   63   67   68   58   51   61  5.524368 0.700339 SUCCESS 136
111101010   58   58   45   59   53   64   54   55  5.103721 0.746435 SUCCESS 137
111101100   52   62   49   50   48   51   63   53  8.076140 0.426068 SUCCESS 138
111101110   57   65   65   53   44   52   57   60  6.751485 0.563668 SUCCESS 139
111110000   62   49   52   62   58   73   56   57  6.614109 0.578780 SUCCESS 140
111110010   47   39   68   63   60   59   63   66 12.389699 0.134645 SUCCESS 141
111110100   63   58   67   58   55   63   55   60  2.356393 0.968091 SUCCESS 142
111110110   50   65   57   38   44   65   58   70 16.452340 0.036345 SUCCESS 143
111111000   70   72   56   63   59   64   55   63  6.750592 0.563765 SUCCESS 144
111111010   73   59   59   57   47   70   52   65  9.744580 0.283413 SUCCESS 145
111111100   56   56   66   60   61   57   57   66  2.321224 0.969547 SUCCESS 146
111111110   63   54   65   59   58   61   61   58  1.582687 0.991248 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   50   68   46   65   64   55   50   64  8.975545 0.344363 SUCCESS   0
000000011   46   51   54   72   61   50   52   50 11.049521 0.198909 SUCCESS   1
000000101   67   61   59   69   54   52   54   75  9.331007 0.315147 SUCCESS   2
000000111   51   53   59   71   67   43   65   54 10.934193 0.205456 SUCCESS   3
000001001   45   58   81   67   60   60   53   63 14.157050 0.077763 SUCCESS   4
000001011   60   52   65   60   55   61   59   64  2.353577 0.968209 SUCCESS   5
000001101   51   72   78   54   54   66   37   64 21.168688 0.006713 FAILURE   6
000001111   60   56   46   53   68   54   66   62  6.622076 0.577901 SUCCESS   7
000010001   65   50   48   57   53   51   63   57  6.180342 0.627039 SUCCESS   8
000010011   50   52   81   63   60   58   50   58 12.560390 0.127897 SUCCESS   9
000010101   54   53   44   55   59   65   45   72 12.196960 0.142630 SUCCESS  10
000010111   57   60   60   66   54   54   61   64  2.388745 0.966717 SUCCESS  11
000011001   61   60   49   41   57   54   67   59  9.021017 0.340526 SUCCESS  12
000011011   53   56   65   54   51   64   45   60  6.735069 0.565468 SUCCESS  13
000011101   47   51   70   47   57   60   66   64  9.643745 0.290926 SUCCESS  14
000011111   55   57   47   58   62   53   54   56  4.091804 0.848747 SUCCESS  15
000100011   64   47   45   56   55   55   57   58  6.994367 0.537241 SUCCESS  16
000100101   56   64   61   57   55   60   47   68  4.971976 0.760567 SUCCESS  17
000100111   55   58   72   54   65   60   62   67  5.792596 0.670451 SUCCESS  18
000101001   73   52   66   64   58   53   64   69  8.646871 0.372955 SUCCESS  19
000101011   63   67   51   58   78   73   51   60 13.689558 0.090225 SUCCESS  20
000101101   54   68   61   54   62   73   55   57  6.417179 0.600608 SUCCESS  21
000101111   52   66   74   65   52   52   68   65 10.248203 0.248036 SUCCESS  22
000110011   60   57   43   48   51   60   69   62  9.632480 0.291774 SUCCESS  23
000110101   58   62   49   56   56   63   46   57  5.409452 0.713050 SUCCESS  24
000110111   47   53   55   64   54   71   45   65 10.820239 0.212094 SUCCESS  25
000111001   68   58   76   62   55   47   54   51 11.058931 0.198382 SUCCESS  26
000111011   55   60   67   59   61   74   64   55  6.333723 0.609904 SUCCESS  27
000111101   65   51   58   61   60   49   74   60  7.642442 0.469153 SUCCESS  28
000111111   64   48   58   61   62   64   64   45  7.103650 0.525492 SUCCESS  29
001000011   55   58   62   55   63   61   46   56  4.116669 0.846447 SUCCESS  30
001000101   71   69   77   61   64   62   67   66 13.090320 0.108780 SUCCESS  31
001000111   81   52   55   64   50   56   69   59 13.534803 0.094726 SUCCESS  32
001001011   54   57   64   68   56   55   54   61  3.308276 0.913550 SUCCESS  33
001001101   64   68   64   57   52   56   57   49  5.193771 0.736679 SUCCESS  34
001001111   49   66   54   54   59   57   71   66  6.995810 0.537085 SUCCESS  35
001010011   70   47   69   68   55   51   69   75 15.732143 0.046378 SUCCESS  36
001010101   54   53   49   59   45   44   52   54 11.118896 0.195053 SUCCESS  37
001010111   62   65   46   51   66   63   46   53  9.505407 0.301468 SUCCESS  38
001011011   56   68   61   54   55   70   54   50  6.343545 0.608809 SUCCESS  39
001011101   73   61   67   57   64   62   66   59  6.428925 0.599302 SUCCESS  40
001011111   47   62   58   63   44   52   76   60 12.844073 0.117328 SUCCESS  41
001100101   54   64   63   54   58   59   59   48  3.662296 0.886236 SUCCESS  42
001100111   61   56   53   49   53   68   56   59  4.725316 0.786491 SUCCESS  43
