		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.804688	M = 30116	N = 8	m = 9	n = 240932
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110100100   46   65   53   76   71   56   58   62 12.294669 0.138533 SUCCESS 108
110101000   58   66   63   54   60   60   56   68  3.312683 0.913231 SUCCESS 109
110101010   46   59   65   61   71   82   51   59 16.791707 0.032353 SUCCESS 110
110101100   59   81   79  122   96   92   76   57 135.025308 0.000000 FAILURE 111
110110000   27   25   36   38   35   31   51   48 81.322702 0.000000 FAILURE 112
110110010   45   53   66   62   55   63   55   70  8.056182 0.428001 SUCCESS 113
110110100   51   54   55   68   58   44   72   65 10.820843 0.212059 SUCCESS 114
110111000   22   28   34   39   34   33   50   48 84.168418 0.000000 FAILURE 115
110111010   53   45   63   68   55   57   59   68  7.539354 0.479708 SUCCESS 116
110111100   36   60   64   75  103   71   70   48 55.476343 0.000000 FAILURE 117
111000000   17   15   22   20   14   21   55   59 175.461830 0.000000 FAILURE 118
111000010   21   17   42   32   33   30   34   63 110.892917 0.000000 FAILURE 119
111000100   43   35   45   42   45   31   47   50 43.433778 0.000001 FAILURE 120
111000110   32   40   54   63   58   62   76   69 26.786467 0.000770 FAILURE 121
111001000   33   52   45   40   33   45   48   53 39.798945 0.000003 FAILURE 122
111001010   51   56   66   85   59   59   42   64 19.628355 0.011837 SUCCESS 123
111001100   43   66   66   75   76   67   55   58 17.472019 0.025553 SUCCESS 124
111010000   66   72   83   65   52   55   37   55 24.625460 0.001799 FAILURE 125
111010010   66   84   86   88   76   64   62   58 45.932468 0.000000 FAILURE 126
111010100   51   70   83   67   57   72   49   60 19.585217 0.012025 SUCCESS 127
111010110   36   68   79   86   75   59   75   61 40.119318 0.000003 FAILURE 128
111011000   22   35   51   60   41   33   44   57 56.076425 0.000000 FAILURE 129
111011010   31   43   39   59   49   41   58   55 32.416076 0.000078 FAILURE 130
111011100   22   45   48   45   25   42   58   50 59.010888 0.000000 FAILURE 131
111100000   22   20   25   24   13   20   53   68 157.148910 0.000000 FAILURE 132
111100010   24   25   40   34   34   28   47   46 91.274325 0.000000 FAILURE 133
111100100   31   57   36   37   49   38   50   67 43.003774 0.000001 FAILURE 134
111100110   33   64   77   53   74   67   52   66 25.564324 0.001247 FAILURE 135
111101000   57   79   85   84   71   69   46   44 41.639304 0.000002 FAILURE 136
111101010   29   51   56   63   47   58   42   46 27.450843 0.000591 FAILURE 137
111101100   15   31   47   50   42   37   57   64 65.009503 0.000000 FAILURE 138
111101110   11   37   34   39   20   21   53   55 118.722000 0.000000 FAILURE 139
111110000   31   20   24   21   19   14   58   81 158.344401 0.000000 FAILURE 140
111110010   20   31   34   46   43   40   40   54 71.011690 0.000000 FAILURE 141
111110100   28   60   72   61   60   42   52   41 31.238169 0.000127 FAILURE 142
111110110   15   26   18   21   22   25   53   66 152.495807 0.000000 FAILURE 143
111111000    7   12   15   19   13   20   56   67 212.012387 0.000000 FAILURE 144
111111010   14   30   36   36   40   25   44   50 99.712007 0.000000 FAILURE 145
111111100   14   17   21   15   15   18   44   73 195.326610 0.000000 FAILURE 146
111111110   15   14   14    5   17   13   44   62 226.910834 0.000000 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.804688	M = 30116	N = 8	m = 9	n = 240932
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   71   47    6   21   38   18   17   29 162.473257 0.000000 FAILURE   0
000000011   59   28    7   11   23   12    9   25 228.846811 0.000000 FAILURE   1
