		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010001111   60   54   66   57   50   61   53   56  3.578358 0.893024 SUCCESS  55
010010011   58   61   57   63   68   66   50   59  4.223136 0.836451 SUCCESS  56
010010111   60   71   72   49   59   55   56   55  8.040079 0.429565 SUCCESS  57
010011011   68   60   68   61   53   76   74   54 13.338354 0.100726 SUCCESS  58
010011111   51   49   51   63   51   42   58   54 10.599818 0.225421 SUCCESS  59
010100011   62   56   55   53   50   50   55   54  4.554145 0.803992 SUCCESS  60
010100111   51   66   63   49   44   50   58   56  9.350652 0.313584 SUCCESS  61
010101011   54   76   50   66   63   60   60   56  8.375827 0.397645 SUCCESS  62
010101111   62   56   51   63   65   62   49   59  4.244223 0.834444 SUCCESS  63
010110011   60   64   44   60   50   57   57   68  7.344197 0.499992 SUCCESS  64
010110111   61   58   57   62   61   62   58   46  3.492086 0.899803 SUCCESS  65
010111011   64   53   58   58   72   53   52   53  6.151286 0.630290 SUCCESS  66
010111111   62   75   65   62   72   67   62   68 11.550877 0.172395 SUCCESS  67
011000111   68   59   59   48   45   65   61   72 10.712879 0.218504 SUCCESS  68
011001111   65   61   65   57   61   63   51   55  3.211219 0.920411 SUCCESS  69
011010111   58   57   67   52   62   66   69   51  6.051894 0.641419 SUCCESS  70
011011111   80   58   57   58   52   71   66   50 13.681109 0.090465 SUCCESS  71
011101111   60   49   48   40   63   54   46   56 13.726993 0.089165 SUCCESS  72
011111111   64   54   57   61   55   59   61   70  3.565720 0.894030 SUCCESS  73
100000000   44   60   47   66   48   50   53   73 14.793791 0.063281 SUCCESS  74
100010000   71   64   51   66   63   60   56   62  5.722259 0.678311 SUCCESS  75
100100000   48   62   51   55   61   62   49   47  7.965483 0.436849 SUCCESS  76
100101000   51   62   61   60   62   48   68   46  7.963628 0.437031 SUCCESS  77
100110000   61   53   49   62   70   59   73   69 10.121129 0.256627 SUCCESS  78
100111000   51   63   67   53   59   57   64   73  7.228869 0.512153 SUCCESS  79
101000000   52   50   51   60   52   52   49   57  6.652986 0.574493 SUCCESS  80
101000100   56   75   64   59   51   50   48   54 10.119687 0.256726 SUCCESS  81
101001000   47   56   56   45   59   54   48   62  8.719956 0.366468 SUCCESS  82
101001100   53   63   51   62   65   53   63   68  5.215820 0.734280 SUCCESS  83
101010000   62   51   59   64   63   51   46   62  6.170038 0.628192 SUCCESS  84
101010100   71   47   54   65   62   63   49   52  9.140603 0.330574 SUCCESS  85
101011000   68   68   53   79   66   52   62   57 12.696874 0.122714 SUCCESS  86
101011100   66   64   61   51   58   56   60   66  3.625273 0.889253 SUCCESS  87
101100000   64   60   54   72   55   53   62   71  7.607754 0.472692 SUCCESS  88
101100100   56   72   54   53   52   54   62   52  6.413401 0.601028 SUCCESS  89
101101000   52   64   72   50   55   61   61   49  7.828587 0.450391 SUCCESS  90
101101100   58   61   70   60   55   61   58   67  3.855516 0.869918 SUCCESS  91
101110000   58   57   61   63   56   75   54   58  5.629873 0.688613 SUCCESS  92
101110100   55   45   54   59   62   54   67   51  6.851358 0.552752 SUCCESS  93
101111000   47   52   61   54   70   51   60   59  7.057217 0.530472 SUCCESS  94
101111100   77   51   68   61   59   62   50   58 10.017959 0.263768 SUCCESS  95
110000000   50   52   51   64   48   51   70   66  9.962597 0.267661 SUCCESS  96
110000010   56   56   62   65   51   44   65   78 13.209838 0.104831 SUCCESS  97
110000100   62   62   59   49   64   65   60   52  4.038845 0.853602 SUCCESS  98
110001000   76   44   60   57   58   61   63   78 16.018642 0.042114 SUCCESS  99
110001010   47   54   80   50   63   66   56   50 14.840705 0.062318 SUCCESS 100
110010000   57   70   52   71   61   57   57   57  5.946389 0.653237 SUCCESS 101
110010010   67   60   72   67   60   67   68   50  9.502179 0.301717 SUCCESS 102
110010100   52   60   45   60   59   57   66   53  5.777553 0.672133 SUCCESS 103
110011000   50   52   51   58   55   52   75   70 11.145204 0.193607 SUCCESS 104
110011010   63   78   67   69   72   66   59   66 14.675716 0.065766 SUCCESS 105
110100000   53   50   52   47   49   61   59   64  7.473125 0.486549 SUCCESS 106
110100010   63   68   69   60   66   52   67   49  8.243602 0.410043 SUCCESS 107
110100100   51   64   55   54   55   46   50   62  6.888862 0.548670 SUCCESS 108
110101000   65   71   59   55   43   47   40   62 16.787608 0.032398 SUCCESS 109
110101010   67   57   57   69   66   69   46   51  9.814917 0.278257 SUCCESS 110
110101100   66   70   54   73   67   55   63   57  8.863514 0.353940 SUCCESS 111
110110000   73   59   60   64   50   56   72   72 11.666205 0.166730 SUCCESS 112
