		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   66   54   64   57   64   52   61   51  4.292992 0.829769 SUCCESS   0
000000011   72   64   68   57   67   70   77   48 16.336119 0.037814 SUCCESS   1
000000101   54   51   65   63   48   49   53   65  7.473606 0.486499 SUCCESS   2
000000111   72   69   74   76   52   60   70   46 20.071941 0.010067 SUCCESS   3
000001001   59   54   64   66   67   47   54   57  5.886356 0.659960 SUCCESS   4
000001011   67   56   61   54   47   51   67   68  7.999278 0.433541 SUCCESS   5
000001101   62   63   51   56   59   39   57   55  8.909879 0.349955 SUCCESS   6
000001111   44   62   63   71   61   56   77   47 15.452650 0.050919 SUCCESS   7
000010001   58   60   55   66   64   76   47   60  9.349759 0.313655 SUCCESS   8
000010011   71   58   47   73   52   49   48   55 13.433487 0.097780 SUCCESS   9
000010101   57   57   64   70   71   63   55   58  5.982038 0.649244 SUCCESS  10
000010111   52   68   56   53   46   61   60   55  6.280695 0.615822 SUCCESS  11
000011001   67   53   57   51   63   57   44   56  7.262595 0.508584 SUCCESS  12
000011011   63   69   55   64   44   47   52   59  9.986981 0.265941 SUCCESS  13
000011101   80   76   63   67   52   63   67   69 18.717270 0.016447 SUCCESS  14
000011111   46   54   61   70   47   64   72   56 11.702747 0.164967 SUCCESS  15
000100011   60   51   62   71   65   68   41   69 13.453682 0.097164 SUCCESS  16
000100101   46   55   53   57   60   62   56   38 11.744441 0.162976 SUCCESS  17
000100111   78   61   53   72   55   63   56   52 11.733245 0.163509 SUCCESS  18
